iter	Passed	Remaining
871	12329	44226
872	12371	44312
873	12413	44397
874	12452	44471
875	12486	44529
876	12530	44621
877	12567	44686
878	12601	44744
879	12631	44783
880	12670	44858
881	12706	44918
882	12734	44953
883	12764	44993
884	12795	45036
885	12830	45093
886	12857	45125
887	12894	45187
888	12929	45247
889	12962	45295
890	12992	45336
891	13263	46214
892	13275	46189
893	13285	46157
894	13294	46123
895	13304	46091
896	13313	46055
897	13322	46021
898	13332	45987
899	13340	45951
900	13349	45915
901	13358	45881
902	13367	45844
903	13376	45811
904	13385	45778
905	13395	45746
906	13405	45715
907	13417	45689
908	13428	45661
909	13436	45626
910	13445	45591
911	13455	45560
912	13467	45537
913	13480	45513
914	13491	45489
915	13504	45466
916	13513	45433
917	13522	45399
918	13531	45364
919	13541	45333
920	13549	45298
921	13558	45262
922	13567	45229
923	13577	45200
924	13588	45170
925	13596	45136
926	13606	45104
927	13616	45074
928	13625	45041
929	13634	45009
930	13644	44977
931	13653	44944
932	13668	44932
933	13681	44912
934	13693	44889
935	13707	44872
936	13721	44854
937	13732	44829
938	13746	44810
939	13760	44794
940	13773	44775
941	13785	44752
942	13803	44746
943	13813	44719
944	13824	44690
945	13832	44656
946	13841	44624
947	13851	44592
948	13860	44561
949	13872	44538
950	13883	44513
951	13893	44483
952	13903	44453
953	13913	44424
954	13923	44395
955	13931	44360
956	13941	44330
957	13950	44296
958	13959	44266
959	13968	44232
960	13980	44211
961	13989	44179
962	13998	44148
963	14008	44118
964	14017	44086
965	14027	44056
966	14037	44029
967	14046	43996
968	14055	43965
969	14064	43933
970	14076	43909
971	14086	43882
972	14097	43856
973	14105	43823
974	14116	43796
975	14124	43763
976	14133	43732
977	14143	43702
978	14153	43675
979	14163	43646
980	14172	43615
981	14181	43585
982	14191	43555
983	14200	43525
984	14209	43494
985	14219	43467
986	14256	43520
987	14268	43499
988	14280	43476
989	14290	43448
990	14301	43423
991	14312	43397
992	14321	43366
993	14329	43335
994	14338	43303
995	14349	43278
996	14358	43246
997	14369	43222
998	14380	43199
999	14388	43166
